"Created-At","From-User","From-User-Id","To-User","To-User-Id","Language","Source","Text","Geo-Location-Latitude","Geo-Location-Longitude","Retweet-Count","Id"
6/10/23 11:27 PM,"??SESA ??CALL OUT WITH RESPECT A'TIN ?","1406874470040567808",,"-1","tl","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","RT @stellintokeun: STREAM! STREAM! STREAM MGA MIMA! DIBA MAY GOALS TAYO? GUSTO KO MAG TOP 1 OPM & BG ARTIST SB19 SA SPOTIFY!!  

@SB19Offic…",,,3.0,"1667554154808762368"
6/10/23 11:27 PM,"Ms. Lyn~ ????³?³??","1351040656765030404",,"-1","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","RT @bianca_cavino17: RESPECT LOCAL ARTISTS

That's the tweet.

When it comes to OPM artists' rights I will fight for it. This is afterall f…",,,42.0,"1667554146441113600"
6/10/23 11:27 PM,"SHEILA TUZON","1473575162708512768",,"-1","en","<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>","RT @bianca_cavino17: It's not SB19's fault if their music label, @sonymusicph, wants to protect their rights as artists. Shows shld pay for…",,,250.0,"1667554144339607553"
6/10/23 11:27 PM,"Cia Marie","1468821822267269125",,"-1","en","<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>","RT @bianca_cavino17: It's not SB19's fault if their music label, @sonymusicph, wants to protect their rights as artists. Shows shld pay for…",,,250.0,"1667554120226725888"
6/10/23 11:27 PM,"HZ ? | ??","1253354244293324802",,"-1","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","RT @bianca_cavino17: It's not SB19's fault if their music label, @sonymusicph, wants to protect their rights as artists. Shows shld pay for…",,,250.0,"1667554077356740611"
6/10/23 11:27 PM,"ter","1653937829402247169",,"-1","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","RT @pen_pearl: I think it’s time to educate Pinoy entertainment industry about music royalties. Hosts’ comments show their lack of knowledg…",,,77.0,"1667554017126522882"
6/10/23 11:27 PM,"chikKen","1592466828562833408","momshiedivine","925548044136824833","tl","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","@momshiedivine ANAY pasoyo po pa delete ng tweet nyo kaya d nkaka penetrate Yung opm sa global scene dahil sa kgaya mong ma issue...tsktsk",,,0.0,"1667554002631000064"
6/10/23 11:27 PM,"pauwie ???| A'WF?¹?","1455860506602868736",,"-1","en","<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>","RT @musicartistsph: SB19's latest album 'PAGTATAG - EP' rises to number 6 on iTunes Worldwide Album chart, the highest position achieved by…",,,2697.0,"1667553960704749572"
6/10/23 11:27 PM,"Jia |???","1446632062518059009",,"-1","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","RT @kokur00: 'SUPPORT OPM' MEANS SUPPORTING FILIPINO ARTISTS AND THEIR RIGHTS.",,,15.0,"1667553958834098176"
6/10/23 11:26 PM,"?? | 34 | ezekiel??","1388301287943413760",,"-1","tl","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","RT @chartdataPH: Top OPM songs on Spotify PH (June 9)

#1 Uhaw (TL) @dilawband *76th day*
#2 Pasilyo @sunkissed_lola
#3 Gusto @zacktabudlo…",,,597.0,"1667553952081260546"
6/10/23 11:26 PM,"Me","1382243399164563456",,"-1","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","RT @rayadraws: OPM pups! https://t.co/cVFWIKm8oU",,,53.0,"1667553946649460736"
6/10/23 11:26 PM,"JA","3237587711",,"-1","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","RT @pen_pearl: I think it’s time to educate Pinoy entertainment industry about music royalties. Hosts’ comments show their lack of knowledg…",,,77.0,"1667553940765020160"
6/10/23 11:26 PM,"zadeee ??","1388147036101365761",,"-1","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","RT @kokur00: 'SUPPORT OPM' MEANS SUPPORTING FILIPINO ARTISTS AND THEIR RIGHTS.",,,15.0,"1667553937858400258"
6/10/23 11:26 PM,"???????????","1376059395990122496",,"-1","ja","<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>","RT @oka_polka: ??????????????

@or_opm https://t.co/KqN2hx5lY3",,,1.0,"1667553914923933696"
6/10/23 11:26 PM,"pea.","1423688273336049673",,"-1","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","RT @kokur00: 'SUPPORT OPM' MEANS SUPPORTING FILIPINO ARTISTS AND THEIR RIGHTS.",,,15.0,"1667553902991130624"
6/10/23 11:26 PM,"???","4134612074",,"-1","en","<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>","RT @musicartistsph: NEW RECORD: @SB19Official’s “PAGTATAG!” EP rises to #16 (+3) on USA iTunes Top Albums Chart making it the first OPM art…",,,1772.0,"1667553898603892736"
6/10/23 11:26 PM,"K","1625899822590095361",,"-1","tl","<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>","RT @petdang5: Guys ipapa no1 pa natin ung esbi sa spotify isang kembot nalang sa opm groups cat o ?? langoy nalang muna tayo, gigil din ako…",,,49.0,"1667553897869905922"
6/10/23 11:26 PM,"A’Tin Kirara ?","1389162224002813958",,"-1","en","<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>","RT @chartdataPH: Spotify PH Daily Top OPM Artists (June 9)

#1 @BenAndBenMusic *286th day*
#2 @zacktabudlo 
#3 @SB19Official [+5]
#4 @Adadi…",,,988.0,"1667553878550913024"
6/10/23 11:26 PM,"???????????","1376059395990122496",,"-1","ja","<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>","????!!
????????????????
@oka_polka https://t.co/RWMtV5ODyN",,,0.0,"1667553876466356225"
